area_code,area_name,total_persons,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad
E07000151,Daventry,77843,37709,27454,9398,2577,705,48.4,35.3,12.1,3.3,0.9,3282,4.2
E07000152,East Northamptonshire,86765,40656,31175,11145,2945,844,46.9,35.9,12.8,3.4,1.0,3789,4.4
E07000153,Kettering,93475,43038,33973,12039,3477,948,46.0,36.3,12.9,3.7,1.0,4425,4.7
E07000154,Northampton,212069,98367,77331,26530,7654,2187,46.4,36.5,12.5,3.6,1.0,9841,4.6
E07000155,South Northamptonshire,85189,43204,29703,9378,2247,657,50.7,34.9,11.0,2.6,0.8,2904,3.4000000000000004
E07000156,Wellingborough,75356,32913,27907,10687,2973,876,43.7,37.0,14.2,3.9,1.2,3849,5.1
E07000170,Ashfield,119497,50253,41200,19484,6764,1796,42.1,34.5,16.3,5.7,1.5,8560,7.2
E07000171,Bassetlaw,112863,48326,39138,17794,5912,1693,42.8,34.7,15.8,5.2,1.5,7605,6.7
E07000172,Broxtowe,109487,49831,38276,15614,4521,1245,45.5,35.0,14.3,4.1,1.1,5766,5.199999999999999
E07000173,Gedling,113543,51154,39934,16473,4657,1325,45.1,35.2,14.5,4.1,1.2,5982,5.3
E07000174,Mansfield,104466,43295,35895,16922,6476,1878,41.4,34.4,16.2,6.2,1.8,8354,8.0
E07000175,Newark and Sherwood,114817,51505,39671,16874,5246,1521,44.9,34.6,14.7,4.6,1.3,6767,5.8999999999999995
E07000176,Rushcliffe,111129,57689,36222,12779,3468,971,51.9,32.6,11.5,3.1,0.9,4439,4.0
E06000019,"Herefordshire, County of UA",183477,83874,64494,25517,7441,2151,45.7,35.2,13.9,4.1,1.2,9592,5.3
E06000051,Shropshire UA,306129,142309,106909,41475,11979,3457,46.5,34.9,13.5,3.9,1.1,15436,5.0
E06000021,Stoke-on-Trent UA,249008,104510,86311,38179,15356,4652,42.0,34.7,15.3,6.2,1.9,20008,8.1
E06000020,Telford and Wrekin UA,166641,76439,57198,22609,8023,2372,45.9,34.3,13.6,4.8,1.4,10395,6.199999999999999
E07000192,Cannock Chase,97462,42634,34133,14091,5121,1483,43.7,35.0,14.5,5.3,1.5,6604,6.8
E07000193,East Staffordshire,113583,52094,40576,15302,4377,1234,45.9,35.7,13.5,3.9,1.1,5611,5.0
E07000194,Lichfield,100654,47225,35014,13259,3959,1197,46.9,34.8,13.2,3.9,1.2,5156,5.1
E07000195,Newcastle-under-Lyme,123871,55311,42716,17802,6312,1730,44.7,34.5,14.4,5.1,1.4,8042,6.5
E07000196,South Staffordshire,108131,49032,38390,14901,4435,1373,45.3,35.5,13.8,4.1,1.3,5808,5.3999999999999995
E07000197,Stafford,130869,60366,46574,17316,5118,1495,46.1,35.6,13.2,3.9,1.1,6613,5.0
E07000198,Staffordshire Moorlands,97106,42874,34050,14432,4420,1330,44.2,35.1,14.9,4.6,1.4,5750,6.0
E07000199,Tamworth,76813,35029,27064,10314,3399,1007,45.6,35.2,13.4,4.4,1.3,4406,5.7
E07000218,North Warwickshire,62014,27979,21604,8725,2850,856,45.1,34.8,14.1,4.6,1.4,3706,6.0
E07000219,Nuneaton and Bedworth,125252,55086,44255,18133,6019,1759,44.0,35.3,14.5,4.8,1.4,7778,6.199999999999999
E07000220,Rugby,100075,47711,35306,12580,3508,970,47.7,35.3,12.6,3.5,1.0,4478,4.5
E07000221,Stratford-on-Avon,120485,58094,41966,15315,4049,1061,48.2,34.8,12.7,3.4,0.9,5110,4.3
E07000222,Warwick,137648,69660,46720,15719,4275,1274,50.6,33.9,11.4,3.1,0.9,5549,4.0
E08000025,Birmingham,1073045,488568,363904,148782,54105,17686,45.5,33.9,13.9,5.0,1.6,71791,6.6
E08000026,Coventry,316960,145948,109815,42006,14765,4426,46.0,34.6,13.3,4.7,1.4,19191,6.1
E08000027,Dudley ,312925,132825,111905,47828,15918,4449,42.4,35.8,15.3,5.1,1.4,20367,6.5
E08000028,Sandwell ,308063,129182,107081,48087,18171,5542,41.9,34.8,15.6,5.9,1.8,23713,7.7
E08000029,Solihull,206674,98197,70683,27056,8241,2497,47.5,34.2,13.1,4.0,1.2,10738,5.2
E08000030,Walsall,269323,113525,94650,41653,14968,4527,42.2,35.1,15.5,5.6,1.7,19495,7.3
E08000031,Wolverhampton,249470,104263,88168,39096,13796,4147,41.8,35.3,15.7,5.5,1.7,17943,7.2
E07000234,Bromsgrove,93637,45932,31306,11885,3484,1030,49.1,33.4,12.7,3.7,1.1,4514,4.800000000000001
E07000235,Malvern Hills,74631,34011,26171,10494,2939,1016,45.6,35.1,14.1,3.9,1.4,3955,5.3
E07000236,Redditch,84214,39391,29354,10913,3522,1034,46.8,34.9,13.0,4.2,1.2,4556,5.4
E07000237,Worcester,98768,46851,34497,12625,3780,1015,47.4,34.9,12.8,3.8,1.0,4795,4.8
E07000238,Wychavon,116944,54212,41641,15608,4339,1144,46.4,35.6,13.3,3.7,1.0,5483,4.7
E07000239,Wyre Forest,97975,42730,34481,14881,4548,1335,43.6,35.2,15.2,4.6,1.4,5883,6.0
