year,area_code,area_name,umap1,umap2,umap_cluster,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,pct_bad_or_very_bad,pct_unemployed_of_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive
2021,E06000056,Central Bedfordshire,3.313241,1.5773927,4,50.37,34.49,11.33,3.0,0.82,3.81,2.63,21.43,3.53,3.84,2.6,2.15
2021,E07000008,Cambridge,1.6555021,7.998638,3,55.05,32.13,9.58,2.55,0.69,3.24,2.9,11.73,20.59,3.38,2.52,2.29
2021,E07000009,East Cambridgeshire,4.102886,1.145933,4,48.34,35.13,12.4,3.26,0.88,4.14,2.13,23.46,3.32,3.9,2.6,2.02
2021,E07000010,Fenland,7.2683363,3.1295018,1,40.27,37.48,15.87,4.94,1.44,6.38,2.69,26.32,2.89,4.84,4.63,3.09
2021,E07000011,Huntingdonshire,4.1557436,1.3857219,4,47.88,35.71,12.18,3.36,0.87,4.24,2.33,23.61,3.02,3.77,2.77,2.85
2021,E07000012,South Cambridgeshire,2.7473454,1.5323821,4,52.21,33.62,10.74,2.66,0.77,3.43,2.13,22.7,4.2,3.79,2.2,1.86
2021,E07000026,Allerdale,6.4853745,2.6227965,1,44.89,34.18,14.93,4.68,1.32,6.0,2.21,28.9,2.87,3.62,4.77,2.68
2021,E07000027,Barrow-in-Furness,7.0192704,4.628383,1,43.41,34.51,14.92,5.63,1.54,7.16,2.7,26.15,2.62,3.84,5.92,2.91
2021,E07000028,Carlisle,6.672244,2.3521802,1,45.57,34.56,14.07,4.52,1.29,5.81,2.54,25.48,3.46,3.33,4.6,2.62
2021,E07000029,Copeland,7.3178906,4.6898193,1,44.44,33.22,15.49,5.33,1.53,6.86,2.45,27.81,2.76,3.89,5.51,2.98
2021,E07000030,Eden,5.0859165,0.7647487,4,46.91,35.39,13.26,3.49,0.96,4.44,1.82,28.61,2.65,3.11,2.92,2.28
2021,E07000031,South Lakeland,5.0084577,0.64505106,4,47.92,34.85,12.81,3.48,0.93,4.41,1.67,32.04,3.04,2.56,2.5,2.3
2021,E07000032,Amber Valley,6.9565363,2.381515,1,44.43,35.44,14.5,4.45,1.18,5.63,2.34,26.81,3.04,3.93,4.28,2.33
2021,E07000033,Bolsover,6.8749595,4.802661,1,41.79,34.27,16.12,6.03,1.79,7.82,2.34,24.1,2.89,4.46,6.11,2.61
2021,E07000034,Chesterfield,6.937383,4.6229916,1,41.49,34.79,16.47,5.67,1.57,7.24,2.73,25.72,3.15,4.27,6.12,2.75
2021,E07000035,Derbyshire Dales,5.1365533,0.76123434,4,47.53,34.5,13.4,3.54,1.03,4.57,1.87,31.9,3.2,3.3,2.78,2.53
2021,E07000036,Erewash,6.9033365,2.4534497,1,44.33,35.36,14.66,4.45,1.21,5.65,2.69,24.7,3.11,3.74,4.53,2.47
2021,E07000037,High Peak,5.324063,1.6561939,4,47.62,34.18,13.2,3.89,1.11,4.99,2.46,26.08,3.48,2.98,3.73,2.29
2021,E07000038,North East Derbyshire,6.637447,2.8243835,1,43.51,34.37,15.63,5.06,1.42,6.49,2.24,29.42,2.94,3.78,4.77,2.25
2021,E07000039,South Derbyshire,4.7026725,1.4845902,4,48.2,34.47,12.72,3.59,1.01,4.61,2.3,22.92,3.38,3.84,3.29,2.27
2021,E07000040,East Devon,5.366451,0.8053832,4,46.39,35.06,13.69,3.84,1.01,4.86,1.93,34.21,2.88,3.38,3.03,2.17
2021,E07000041,Exeter,2.0314138,7.94812,3,50.87,32.94,11.59,3.57,1.03,4.59,3.19,18.47,15.84,2.86,3.66,2.35
2021,E07000042,Mid Devon,5.18449,1.3222375,4,47.16,34.84,13.22,3.72,1.05,4.78,2.02,26.46,3.24,3.66,3.39,2.18
2021,E07000043,North Devon,6.0913486,2.4063888,1,46.78,33.62,13.9,4.41,1.28,5.7,2.4,29.27,3.06,3.83,4.03,2.46
2021,E07000044,South Hams,5.0989757,1.6191229,4,49.08,33.18,12.74,3.85,1.15,5.0,1.9,31.67,3.28,3.49,3.33,2.19
2021,E07000045,Teignbridge,6.3756204,1.9147813,1,45.57,34.91,14.11,4.26,1.16,5.41,2.11,30.64,2.96,3.48,3.55,2.49
2021,E07000046,Torridge,6.669197,2.673776,1,43.83,34.81,15.35,4.72,1.29,6.01,2.37,31.96,2.72,3.88,4.46,2.39
2021,E07000047,West Devon,6.4133644,2.119341,1,45.55,34.68,14.42,4.17,1.18,5.34,1.93,31.85,3.35,3.73,3.79,2.87
2021,E07000061,Eastbourne,6.8217726,3.416683,1,43.23,35.25,15.25,4.86,1.42,6.28,3.46,28.02,4.31,4.3,5.04,3.05
2021,E07000062,Hastings,6.428604,4.8260837,1,42.2,35.02,15.52,5.52,1.75,7.27,3.85,22.77,3.8,5.02,6.37,3.45
2021,E07000063,Lewes,6.7320614,2.166317,1,45.58,34.77,14.17,4.3,1.19,5.49,2.76,29.52,3.69,3.95,3.85,2.75
2021,E07000064,Rother,7.329848,2.9515643,1,42.27,36.09,15.64,4.69,1.3,5.99,2.49,35.92,3.13,4.15,3.98,2.6
2021,E07000065,Wealden,4.6928287,1.106083,4,48.22,34.74,12.62,3.51,0.91,4.43,2.22,29.49,3.34,4.11,2.81,2.26
2021,E07000066,Basildon,4.17147,3.2212274,4,48.47,34.22,12.27,3.85,1.18,5.04,3.34,20.78,3.59,5.54,3.95,2.93
2021,E07000067,Braintree,4.3531523,2.1925952,4,47.26,35.65,12.66,3.5,0.94,4.44,2.81,23.56,3.12,4.43,3.27,2.54
2021,E07000068,Brentwood,2.3806536,2.524305,4,53.98,31.69,10.57,2.87,0.9,3.77,2.55,23.74,3.74,4.92,2.29,2.47
2021,E07000069,Castle Point,6.8501287,2.1426036,1,45.68,35.09,13.76,4.25,1.22,5.47,2.56,29.14,2.94,4.58,3.3,2.38
2021,E07000070,Chelmsford,3.054662,2.1278124,4,51.57,33.82,11.01,2.8,0.79,3.6,2.7,22.97,3.97,4.29,2.49,2.76
2021,E07000071,Colchester,3.8667445,2.7881677,4,49.18,34.75,11.89,3.26,0.92,4.18,3.51,21.01,6.54,4.28,3.32,2.5
2021,E07000072,Epping Forest,2.8956225,2.9313264,4,51.8,32.87,11.23,3.12,0.98,4.1,3.12,21.83,4.37,5.04,2.69,3.09
2021,E07000073,Harlow,4.339931,3.3540146,4,47.74,34.4,12.76,3.92,1.17,5.09,3.89,17.16,3.67,5.16,3.97,3.25
2021,E07000074,Maldon,5.0909514,1.1474643,4,46.68,35.45,13.11,3.76,1.01,4.77,2.39,28.42,3.06,4.64,2.87,2.23
2021,E07000075,Rochford,4.3690414,1.0697185,4,48.87,34.52,12.36,3.31,0.93,4.24,2.58,27.78,3.19,4.33,2.36,2.25
2021,E07000076,Tendring,6.8901725,4.654153,1,39.44,35.62,17.17,6.0,1.77,7.77,3.08,34.2,2.9,4.92,5.38,2.84
2021,E07000077,Uttlesford,2.2207792,2.1092403,4,54.0,32.73,10.05,2.52,0.7,3.22,2.35,22.93,3.87,4.53,1.94,2.15
2021,E07000078,Cheltenham,3.494283,1.641099,4,50.69,33.6,11.68,3.11,0.92,4.03,2.76,22.54,5.43,3.62,3.08,2.47
2021,E07000079,Cotswold,3.3079588,1.194982,4,50.4,34.17,11.62,2.97,0.83,3.8,2.06,28.26,3.62,3.99,2.16,2.14
2021,E07000080,Forest of Dean,6.934352,2.3264627,1,44.81,35.52,14.2,4.21,1.25,5.46,2.45,28.12,4.18,4.05,4.05,2.4
2021,E07000081,Gloucester,4.3353224,2.9117005,4,46.73,35.29,13.03,3.91,1.03,4.94,3.12,19.76,4.42,4.1,4.26,2.98
2021,E07000082,Stroud,4.2034974,0.9372774,4,48.63,34.73,12.49,3.31,0.84,4.15,2.11,26.59,3.26,3.2,2.88,2.14
2021,E07000083,Tewkesbury,3.618717,1.1119224,4,49.78,34.3,12.0,3.12,0.81,3.92,2.2,26.35,3.14,3.5,2.61,2.05
2021,E07000084,Basingstoke and Deane,3.2952895,1.8043567,4,50.12,34.98,11.22,2.93,0.76,3.68,2.76,20.39,2.98,4.06,2.67,2.4
2021,E07000085,East Hampshire,3.091503,1.3486047,4,50.76,34.31,11.35,2.86,0.72,3.58,2.3,26.23,3.6,3.94,2.39,2.08
2021,E07000086,Eastleigh,3.4836266,1.301918,4,49.82,34.74,11.65,3.0,0.79,3.79,2.45,23.43,3.02,3.48,2.61,2.01
2021,E07000087,Fareham,4.7054734,0.69245946,4,48.19,35.38,12.39,3.23,0.8,4.03,2.16,29.34,2.91,3.15,2.39,1.89
2021,E07000088,Gosport,7.288982,2.747251,1,43.32,36.4,14.81,4.38,1.1,5.47,3.1,25.37,3.17,4.23,4.23,2.64
2021,E07000089,Hart,2.2142467,2.0244417,4,54.88,32.9,9.4,2.19,0.63,2.82,2.45,23.64,3.48,4.05,1.64,1.94
2021,E07000090,Havant,7.0809345,2.571728,1,44.3,35.57,14.51,4.38,1.24,5.61,2.9,28.28,2.83,4.36,4.33,2.5
2021,E07000091,New Forest,5.333209,0.82173353,4,46.12,35.51,13.58,3.72,1.07,4.79,2.07,33.44,2.76,3.65,2.96,2.21
2021,E07000092,Rushmoor,3.4610388,2.6630661,4,49.55,34.9,11.8,2.97,0.78,3.75,3.13,17.16,3.26,4.3,3.01,3.59
2021,E07000093,Test Valley,3.3918335,1.2860887,4,50.34,34.36,11.44,3.03,0.82,3.85,2.16,24.66,2.99,3.7,2.67,2.12
2021,E07000094,Winchester,2.258021,1.9442195,4,53.24,32.95,10.39,2.72,0.71,3.43,2.59,24.09,7.16,3.76,2.28,2.3
2021,E07000095,Broxbourne,3.4543982,3.0276814,4,50.13,33.76,11.74,3.39,0.99,4.38,3.35,20.36,4.06,5.08,3.18,3.16
2021,E07000096,Dacorum,2.7768352,2.6886735,4,51.98,33.06,11.07,3.08,0.81,3.89,2.9,20.49,3.78,4.44,2.93,3.1
2021,E07000098,Hertsmere,2.4362006,2.7996182,4,53.47,31.89,10.76,2.97,0.91,3.88,3.2,19.34,5.5,4.77,2.95,3.02
2021,E07000099,North Hertfordshire,3.356936,1.6059378,4,50.59,34.02,11.53,3.07,0.79,3.86,2.64,22.64,3.45,3.9,2.86,2.17
2021,E07000102,Three Rivers,2.2645202,2.5310526,4,53.67,32.37,10.44,2.76,0.76,3.51,2.86,20.66,4.66,4.53,2.32,2.38
2021,E07000103,Watford,2.5654056,3.5053525,4,52.38,33.52,10.37,2.89,0.84,3.73,3.81,14.61,4.86,5.31,2.72,3.4
2021,E07000105,Ashford,3.940307,2.957741,4,48.46,34.49,12.47,3.58,1.01,4.58,2.87,22.54,3.68,5.09,3.41,2.83
2021,E07000106,Canterbury,2.720535,7.4348903,3,47.03,34.68,13.19,3.95,1.15,5.1,3.94,24.81,11.39,3.94,3.71,2.37
2021,E07000107,Dartford,2.6276977,3.0801146,4,52.36,33.13,10.75,2.9,0.86,3.76,3.31,17.06,4.19,4.93,2.85,2.82
2021,E07000108,Dover,6.7361336,3.385116,1,44.2,34.97,14.63,4.82,1.37,6.19,3.18,27.96,3.61,4.55,4.81,2.91
2021,E07000109,Gravesham,4.0587945,3.3069036,4,48.66,34.07,12.43,3.82,1.02,4.85,3.84,20.59,4.22,5.53,3.67,3.31
2021,E07000110,Maidstone,3.5445457,2.8039777,4,49.77,34.01,11.96,3.32,0.94,4.26,2.71,22.26,3.53,4.69,3.15,2.86
2021,E07000111,Sevenoaks,2.5132706,2.4352875,4,52.62,32.3,11.12,3.04,0.92,3.96,2.43,25.01,3.95,5.33,2.52,2.39
2021,E07000112,Folkestone and Hythe,6.849692,3.6755896,1,43.19,35.01,15.31,5.03,1.46,6.49,3.22,28.62,3.28,4.65,4.96,3.04
