year,area_code,area_name,tsne1,tsne2,tsne_cluster,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,pct_bad_or_very_bad,pct_unemployed_of_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive
2021,E07000194,Lichfield,0.0016685153,-24.25814,4,47.11,34.82,13.08,3.91,1.08,4.99,2.44,28.1,3.34,3.51,3.11,2.53
2021,E07000195,Newcastle-under-Lyme,7.7458878,-20.007547,1,43.95,35.3,14.5,4.84,1.41,6.26,2.87,25.36,6.61,3.56,4.48,2.2
2021,E07000196,South Staffordshire,7.7086377,-27.671316,1,45.01,35.73,13.96,4.11,1.2,5.31,2.43,28.73,3.2,3.5,3.22,4.63
2021,E07000197,Stafford,0.45349607,-24.421396,4,46.78,35.02,13.3,3.8,1.1,4.9,2.31,27.24,3.21,3.39,3.39,2.58
2021,E07000198,Staffordshire Moorlands,4.8229437,-26.554451,1,44.66,35.45,14.25,4.32,1.32,5.64,1.99,30.3,3.02,3.04,3.76,2.18
2021,E07000199,Tamworth,10.940527,-18.934875,1,45.52,34.88,13.89,4.37,1.35,5.71,3.24,22.79,3.2,4.34,4.17,2.44
2021,E07000200,Babergh,-3.157193,-25.834625,4,46.32,35.88,13.38,3.49,0.92,4.42,2.41,29.99,3.2,4.04,2.76,2.08
2021,E07000202,Ipswich,-2.398138,-12.055682,4,45.64,35.78,13.54,3.98,1.07,5.05,3.66,19.57,4.11,5.09,4.5,3.14
2021,E07000203,Mid Suffolk,-4.5794005,-26.317303,4,46.94,35.99,12.86,3.36,0.85,4.22,2.01,28.63,2.98,3.68,2.73,2.01
2021,E07000207,Elmbridge,-26.073256,0.22506644,0,58.91,29.53,8.7,2.19,0.68,2.87,2.78,20.96,4.76,5.69,1.95,2.28
2021,E07000208,Epsom and Ewell,-16.996828,-14.098092,4,54.27,32.65,10.02,2.4,0.66,3.06,2.8,21.38,5.2,4.3,2.26,2.28
2021,E07000209,Guildford,-19.277874,-8.245349,0,54.77,32.5,9.55,2.46,0.72,3.18,3.06,19.43,10.55,3.98,2.11,2.4
2021,E07000210,Mole Valley,-14.599963,-16.903387,4,52.59,32.96,10.77,2.86,0.82,3.68,2.33,26.44,3.86,4.14,2.56,2.14
2021,E07000211,Reigate and Banstead,-14.745079,-13.034028,4,53.8,32.5,10.3,2.64,0.76,3.39,2.79,20.73,3.7,4.44,2.69,3.11
2021,E07000212,Runnymede,-18.837585,-8.041052,0,52.37,33.43,10.61,2.82,0.77,3.59,3.64,19.26,9.82,4.19,2.2,2.51
