Table QS405EW,,,,,,,,,,,,,,,,,
"2011 Census: Tenure - Households, local authorities in England and Wales",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All households,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
,,,,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households
,,,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
,,,,,,,,,,,,,,,,,
E07000120,,,Hyndburn,"34,341","23,238","11,464","11,774",84,"4,389","1,367","3,022","6,235","5,711",13,463,48,395
E07000121,,,Lancaster,"57,822","39,999","20,890","19,109",367,"5,762","3,629","2,133","10,929","9,915",87,796,131,765
E07000122,,,Pendle,"37,348","25,580","13,435","12,145",73,"4,333","2,104","2,229","6,760","6,192",29,486,53,602
E07000123,,,Preston,"57,567","34,909","16,355","18,554",397,"11,061","2,259","8,802","10,365","9,540",84,598,143,835
E07000124,,,Ribble Valley,"24,045","18,423","10,086","8,337",145,"1,836",365,"1,471","3,278","2,830",109,274,65,363
E07000125,,,Rossendale,"29,058","20,250","9,160","11,090",87,"4,244","1,416","2,828","4,106","3,683",20,361,42,371
E07000126,,,South Ribble,"46,102","36,337","17,189","19,148",215,"4,845",353,"4,492","4,308","3,845",43,369,51,397
E07000127,,,West Lancashire,"45,381","33,122","16,272","16,850",271,"6,656","5,711",945,"4,744","4,263",48,371,62,588
E07000128,,,Wyre,"47,281","36,676","20,423","16,253",246,"3,401",522,"2,879","6,397","5,791",71,475,60,561
,,,,,,,,,,,,,,,,,
E11000002,,Merseyside (Met County),,"602,087","363,775","174,190","189,585","3,214","127,807","34,114","93,693","100,085","92,644",414,"5,189","1,838","7,206"
E08000011,,,Knowsley ,"61,323","37,896","16,032","21,864",314,"16,333","7,479","8,854","5,980","5,488",17,405,70,800
E08000012,,,Liverpool,"206,515","96,947","43,803","53,144","1,096","57,485","9,868","47,617","48,290","44,912",194,"1,879","1,305","2,697"
E08000014,,,Sefton,"117,930","83,137","42,334","40,803",664,"17,063","4,911","12,152","15,804","14,552",86,"1,019",147,"1,262"
E08000013,,,St. Helens,"75,736","50,952","25,215","25,737",427,"15,597","4,590","11,007","7,736","7,056",35,535,110,"1,024"
E08000015,,,Wirral,"140,583","94,843","46,806","48,037",713,"21,329","7,266","14,063","22,275","20,636",82,"1,351",206,"1,423"
,,,,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,,,"2,224,059","1,425,563","681,492","744,071","9,637","402,653","272,875","129,778","353,448","321,142","4,438","21,957","5,911","32,758"
,,,,,,,,,,,,,,,,,
E06000011,,East Riding of Yorkshire UA,,"143,032","107,706","56,140","51,566",433,"13,028","10,453","2,575","19,648","17,760",298,"1,336",254,"2,217"
E06000010,,"Kingston upon Hull, City of UA",,"112,596","55,785","22,355","33,430",505,"31,634","23,838","7,796","22,984","21,414",63,"1,125",382,"1,688"
E06000012,,North East Lincolnshire UA,,"69,707","46,070","21,497","24,573",213,"10,091","3,293","6,798","12,627","11,594",106,792,135,706
E06000013,,North Lincolnshire UA,,"70,684","49,137","23,355","25,782",179,"10,895","4,852","6,043","9,477","8,493",169,692,123,996
E06000014,,York UA,,"83,552","55,227","28,351","26,876",631,"11,679","7,381","4,298","14,980","13,687",245,753,295,"1,035"
,,,,,,,,,,,,,,,,,
