area_code,area_name,total_persons_health,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad,total_persons_econ,n_active_total,n_employee_part_time,n_employee_full_time,n_self_emp_with_employees_part_time,n_self_emp_with_employees_full_time,n_self_emp_without_employees_part_time,n_self_emp_without_employees_full_time,n_unemployed,n_full_time_student_active,n_inactive_total,n_retired,n_student_inactive,n_looking_after_home_family,n_long_term_sick_disabled,n_other_inactive,pct_active_total,pct_employee_part_time,pct_employee_full_time,pct_self_emp_with_employees_part_time,pct_self_emp_with_employees_full_time,pct_self_emp_without_employees_part_time,pct_self_emp_without_employees_full_time,pct_unemployed,pct_full_time_student_active,pct_inactive_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive,pct_unemployed_of_total
E07000031,South Lakeland,103658,48461,36385,14117,3701,994,46.8,35.1,13.6,3.6,1.0,4695,4.6,75831,53396,12015,26863,456,2423,2699,5524,1524,1892,22435,15457,2307,1769,1962,940,70.4,15.8,35.4,0.6,3.2,3.6,7.3,2.0,2.5,29.6,20.4,3.0,2.3,2.6,1.2,2.0097321675831785
E08000001,Bolton,276786,125548,93765,39139,14465,3869,45.4,33.9,14.1,5.2,1.4,18334,6.6,200723,134933,27798,74631,839,3394,4086,8029,9913,6243,65790,29514,10318,9504,11574,4880,67.2,13.8,37.2,0.4,1.7,2.0,4.0,4.9,3.1,32.8,14.7,5.1,4.7,5.8,2.4,4.938646791847472
E08000002,Bury,185060,87128,61634,25430,8539,2329,47.1,33.3,13.7,4.6,1.3,10868,5.9,134687,94680,19118,53953,533,2539,3129,6019,5769,3620,40007,19558,6074,5168,6596,2611,70.3,14.2,40.1,0.4,1.9,2.3,4.5,4.3,2.7,29.7,14.5,4.5,3.8,4.9,1.9,4.283264160609413
E08000003,Manchester,503127,245334,159452,62651,27014,8676,48.8,31.7,12.5,5.4,1.7,35690,7.1000000000000005,382932,243224,41535,128930,1099,4060,6794,11675,21880,27251,139708,29179,53999,18697,25161,12672,63.5,10.8,33.7,0.3,1.1,1.8,3.0,5.7,7.1,36.5,7.6,14.1,4.9,6.6,3.3,5.713808195710988
E08000004,Oldham,224897,101526,74987,32778,12179,3427,45.1,33.3,14.6,5.4,1.5,15606,6.9,159765,106398,22171,58410,659,2581,3047,6147,8661,4722,53367,22426,8135,9038,9209,4559,66.6,13.9,36.6,0.4,1.6,1.9,3.8,5.4,3.0,33.4,14.0,5.1,5.7,5.8,2.9,5.421087221857103
E08000005,Rochdale,211699,94233,70158,31303,12453,3552,44.5,33.1,14.8,5.9,1.7,16005,7.6,152742,101003,20101,55604,629,2436,2982,6069,9047,4135,51739,20853,8025,7838,10446,4577,66.1,13.2,36.4,0.4,1.6,2.0,4.0,5.9,2.7,33.9,13.7,5.3,5.1,6.8,3.0,5.923059800185934
E08000006,Salford,233933,107689,75685,32849,13741,3969,46.0,32.4,14.0,5.9,1.7,17710,7.6,173117,118130,21676,67966,414,2114,2616,6228,9041,8075,54987,20950,10093,7021,11915,5008,68.2,12.5,39.3,0.2,1.2,1.5,3.6,5.2,4.7,31.8,12.1,5.8,4.1,6.9,2.9,5.2224795947249545
E08000007,Stockport,283275,135500,94251,37601,12505,3418,47.8,33.3,13.3,4.4,1.2,15923,5.6000000000000005,205310,146296,29946,83049,752,4049,4888,9975,8002,5635,59014,31395,8674,7139,8527,3279,71.3,14.6,40.5,0.4,2.0,2.4,4.9,3.9,2.7,28.7,15.3,4.2,3.5,4.2,1.6,3.897520822171351
E08000008,Tameside,219324,96404,73918,33009,12492,3501,44.0,33.7,15.1,5.7,1.6,15993,7.300000000000001,161459,111016,21377,65546,470,2200,2757,6595,8052,4019,50443,23682,6865,6443,9970,3483,68.8,13.2,40.6,0.3,1.4,1.7,4.1,5.0,2.5,31.2,14.7,4.3,4.0,6.2,2.2,4.987024569705002
E08000009,Trafford,226578,115496,71694,27549,9273,2566,51.0,31.6,12.2,4.1,1.1,11839,5.199999999999999,162806,118064,22799,68201,657,3416,4132,7649,6136,5074,44742,21729,7200,6426,6499,2888,72.5,14.0,41.9,0.4,2.1,2.5,4.7,3.8,3.1,27.5,13.3,4.4,3.9,4.0,1.8,3.768902865987741
